"Title","Genre","Company","AgeRating","Year","Rating","RatingCount","Director","Writer","Star","Budget","Revenue","RunTime","Country","Profit"
"John Carter","Action","Walt Disney Pictures","PG-13",2012,6.6,260000,"Andrew Stanton","Andrew Stanton","Taylor Kitsch",260000000,284139100,132,"United States",24139100
"Spider-Man 3","Fantasy","Columbia Pictures","PG-13",2007,6.2,513000,"Sam Raimi","Sam Raimi","Tobey Maguire",258000000,890871626,139,"United States",632871626
"Avengers: Age of Ultron","Action","Marvel Studios","PG-13",2015,7.3,777000,"Joss Whedon","Joss Whedon","Robert Downey Jr.",280000000,1405403694,141,"United States",1125403694
"Harry Potter and the Half-Blood Prince","Adventure","Warner Bros.","PG",2009,7.6,492000,"David Yates","Steve Kloves","Daniel Radcliffe",250000000,933959197,153,"United Kingdom",683959197
"Pirates of the Caribbean: Dead Man's Chest","Adventure","Walt Disney Pictures","PG-13",2006,7.3,668000,"Gore Verbinski","Ted Elliott","Johnny Depp",200000000,1065659812,151,"United States",865659812
"The Lone Ranger","Action","Walt Disney Pictures","PG-13",2013,6.4,225000,"Gore Verbinski","Justin Haythe","Johnny Depp",255000000,89289910,149,"United States",-165710090
"The Amazing Spider-Man","Action","Columbia Pictures","PG-13",2012,6.9,571000,"Marc Webb","James Vanderbilt","Andrew Garfield",215000000,752215857,136,"United States",537215857
"The Golden Compass","Adventure","New Line Cinema","PG-13",2007,6.1,182000,"Chris Weitz","Chris Weitz","Nicole Kidman",180000000,372234864,113,"United Kingdom",192234864
"Battleship","Thriller","Universal Pictures","PG-13",2012,5.8,240000,"Peter Berg","Jon Hoeber","Alexander Skarsgård",209000000,303025485,131,"United States",94025485
"Spider-Man 2","Action","Columbia Pictures","PG-13",2004,7.3,559000,"Sam Raimi","Stan Lee","Tobey Maguire",200000000,783766341,127,"United States",583766341
"Iron Man 3","Action","Marvel Studios","PG-13",2013,7.1,779000,"Shane Black","Drew Pearce","Robert Downey Jr.",200000000,1215439994,130,"United States",1015439994
"Alice in Wonderland","Family","Walt Disney Pictures","PG",2010,6.4,392000,"Tim Burton","Linda Woolverton","Mia Wasikowska",200000000,1025491110,108,"United States",825491110
"Monsters University","Animation","Walt Disney Pictures","G",2013,7.2,332000,"Dan Scanlon","Dan Scanlon","Billy Crystal",200000000,743559607,104,"United States",543559607
"Transformers: Age of Extinction","Science Fiction","Paramount Pictures","PG-13",2014,5.6,302000,"Michael Bay","Ehren Kruger","Mark Wahlberg",210000000,1091405097,165,"United States",881405097
"TRON: Legacy","Adventure","Walt Disney Pictures","PG",2010,6.8,319000,"Joseph Kosinski","Edward Kitsis","Jeff Bridges",170000000,400062763,125,"United States",230062763
"Cars 2","Animation","Walt Disney Pictures","G",2011,6.1,168000,"John Lasseter","John Lasseter","Owen Wilson",200000000,559852396,106,"United States",359852396
"Toy Story 3","Animation","Walt Disney Pictures","G",2010,8.2,776000,"Lee Unkrich","John Lasseter","Tom Hanks",200000000,1066969703,103,"United States",866969703
"Furious 7","Action","Universal Pictures","PG-13",2015,7.1,370000,"James Wan","Chris Morgan","Vin Diesel",190000000,1506249360,137,"United States",1316249360
"World War Z","Action","Paramount Pictures","PG-13",2013,7,618000,"Marc Forster","Matthew Michael Carnahan","Brad Pitt",200000000,531865000,116,"United States",331865000
"Star Trek Into Darkness","Action","Paramount Pictures","PG-13",2013,7.7,468000,"J.J. Abrams","Roberto Orci","Chris Pine",190000000,467365246,132,"United States",277365246
"Jack the Giant Slayer","Action","New Line Cinema","PG-13",2013,6.2,134000,"Bryan Singer","Darren Lemke","Nicholas Hoult",195000000,197687603,114,"United Kingdom",2687603
"Transformers: Dark of the Moon","Action","Paramount Pictures","PG-13",2011,6.2,390000,"Michael Bay","Ehren Kruger","Shia LaBeouf",195000000,1123746996,154,"United States",928746996
"Brave","Animation","Walt Disney Pictures","PG",2012,7.1,383000,"Mark Andrews","Brenda Chapman","Kelly Macdonald",185000000,538983207,93,"United States",353983207
"Star Trek Beyond","Action","Paramount Pictures","PG-13",2016,7,234000,"Justin Lin","Simon Pegg","Chris Pine",185000000,343471816,122,"United States",158471816
"Rush Hour 3","Action","New Line Cinema","PG-13",2007,6.2,157000,"Brett Ratner","Jeff Nathanson","Jackie Chan",140000000,258022233,91,"United States",118022233
"2012","Action","Columbia Pictures","PG-13",2009,5.8,360000,"Roland Emmerich","Roland Emmerich","John Cusack",200000000,769653595,158,"United States",569653595
"The Legend of Tarzan","Action","Village Roadshow Pictures","PG-13",2016,6.2,168000,"David Yates","Adam Cozad","Alexander Skarsgård",180000000,356743061,109,"United Kingdom",176743061
"Up","Animation","Pixar Animation Studios","PG",2009,8.2,962000,"Pete Docter","Pete Docter","Edward Asner",175000000,735099082,96,"United States",560099082
"Hugo","Adventure","Paramount Pictures","PG",2011,7.5,310000,"Martin Scorsese","John Logan","Asa Butterfield",170000000,185770160,126,"United Kingdom",15770160
"The Mummy: Tomb of the Dragon Emperor","Adventure","Universal Pictures","PG-13",2008,5.2,154000,"Rob Cohen","Alfred Gough","Brendan Fraser",145000000,401128639,112,"United States",256128639
"Waterworld","Adventure","Universal Pictures","PG-13",1995,6.2,186000,"Kevin Reynolds","Peter Rader","Kevin Costner",175000000,264218220,135,"United States",89218220
"G.I. Joe: The Rise of Cobra","Adventure","Paramount Pictures","PG-13",2009,5.8,202000,"Stephen Sommers","Stuart Beattie","Dennis Quaid",175000000,302469017,118,"United States",127469017
"Shrek Forever After","Comedy","DreamWorks Animation","PG",2010,6.3,190000,"Mike Mitchell","Josh Klausner","Mike Myers",165000000,752600867,93,"United States",587600867
"Tomorrowland","Adventure","Walt Disney Pictures","PG",2015,6.4,175000,"Brad Bird","Damon Lindelof","George Clooney",190000000,209154322,130,"United States",19154322
"Wreck-It Ralph","Family","Walt Disney Animation Studios","PG",2012,7.7,390000,"Rich Moore","Rich Moore","John C. Reilly",165000000,471222889,108,"United States",306222889
"How to Train Your Dragon","Fantasy","DreamWorks Animation","PG",2010,8.1,685000,"Dean DeBlois","William Davies","Jay Baruchel",165000000,494878759,98,"United States",329878759
"Guardians of the Galaxy","Action","Marvel Studios","PG-13",2014,8,1100000,"James Gunn","James Gunn","Chris Pratt",170000000,773328629,121,"United States",603328629
"Interstellar","Adventure","Paramount Pictures","PG-13",2014,8.6,1600000,"Christopher Nolan","Jonathan Nolan","Matthew McConaughey",165000000,675120017,169,"United States",510120017
"The Fast and the Furious","Action","Universal Pictures","PG-13",2001,6.8,362000,"Rob Cohen","Ken Li","Vin Diesel",38000000,207283925,106,"United States",169283925
"The Sorcerer's Apprentice","Fantasy","Walt Disney Pictures","PG",2010,6.1,156000,"Jon Turteltaub","Lawrence Konner","Nicolas Cage",150000000,215283742,109,"United States",65283742
