"Title","Year","main_genre","Subgenre 1","Subgenre 2","main_origin","Director","IMDB.rating","Rating.count","rating","writer","star","budget","gross","company","runtime"
"The Shawshank Redemption",1994,"Drama",NA,NA,"USA","Frank Darabont",9.3,2030817,"R","Stephen King","Tim Robbins",2.5e+07,28817291,"Castle Rock Entertainment",142
"The Dark Knight",2008,"Drama","Action","Thriller","USA","Christopher Nolan",9,1998623,"PG-13","Jonathan Nolan","Christian Bale",1.85e+08,1005973645,"Warner Bros.",152
"Schindler's List",1993,"Drama","Biography","History","USA","Steven Spielberg",8.9,1050056,"R","Thomas Keneally","Liam Neeson",2.2e+07,322161245,"Universal Pictures",195
"The Lord of the Rings: The Return of the King",2003,"Drama","Adventure","Fantasy","USA","Peter Jackson",8.9,1445888,"PG-13","J.R.R. Tolkien","Elijah Wood",9.4e+07,1146030912,"New Line Cinema",201
"Pulp Fiction",1994,"Drama","Crime",NA,"USA","Quentin Tarantino",8.9,1585797,"R","Quentin Tarantino","John Travolta",8e+06,213928762,"Miramax",154
"Fight Club",1999,"Drama",NA,NA,"USA","David Fincher",8.8,1625021,"R","Chuck Palahniuk","Brad Pitt",6.3e+07,101209702,"Fox 2000 Pictures",139
"The Lord of the Rings: The Fellowship of the Ring",2001,"Drama","Fantasy","Adventure","USA","Peter Jackson",8.8,1462502,"PG-13","J.R.R. Tolkien","Elijah Wood",9.3e+07,897690072,"New Line Cinema",178
"Forrest Gump",1994,"Drama","Romance",NA,"USA","Robert Zemeckis",8.8,1550083,"PG-13","Winston Groom","Tom Hanks",5.5e+07,678226133,"Paramount Pictures",142
"Star Wars: Episode V - The Empire Strikes Back",1980,"Adventure","Fantasy","Action","USA","Irvin Kershner",8.8,1019768,"PG","Leigh Brackett","Mark Hamill",1.8e+07,538375067,"Lucasfilm",124
"Inception",2010,"Adventure","Action","Thriller","USA","Christopher Nolan",8.8,1778263,"PG-13","Christopher Nolan","Leonardo DiCaprio",1.6e+08,836836967,"Warner Bros.",148
"The Lord of the Rings: The Two Towers",2002,"Drama","Fantasy","Adventure","USA","Peter Jackson",8.7,1307197,"PG-13","J.R.R. Tolkien","Elijah Wood",9.4e+07,947495095,"New Line Cinema",179
"Goodfellas",1990,"Drama","Crime",NA,"USA","Martin Scorsese",8.7,875941,"R","Nicholas Pileggi","Robert De Niro",2.5e+07,46963277,"Warner Bros.",146
"The Matrix",1999,"Action",NA,NA,"USA","Lana Wachowski",8.7,1457616,"R","Lilly Wachowski","Keanu Reeves",6.3e+07,466364845,"Warner Bros.",136
"Se7en",1995,"Drama","Thriller","Mystery","USA","David Fincher",8.6,1242595,"R","Andrew Kevin Walker","Morgan Freeman",3.3e+07,327333559,"Cecchi Gori Pictures",127
"The Silence of the Lambs",1991,"Drama","Thriller","Crime","USA","Jonathan Demme",8.6,1091651,"R","Thomas Harris","Jodie Foster",1.9e+07,272742922,"Strong Heart/Demme Production",118
"The Usual Suspects",1995,"Thriller","Mystery","Crime","USA","Bryan Singer",8.6,881292,"R","Christopher McQuarrie","Kevin Spacey",6e+06,23341568,"PolyGram Filmed Entertainment",106
"Saving Private Ryan",1998,"Drama","War",NA,"USA","Steven Spielberg",8.6,1071815,"R","Robert Rodat","Tom Hanks",7e+07,482349603,"Dreamworks Pictures",169
"Spider-Man: Into the Spider-Verse",2018,"Comedy","Adventure","Animation","USA","Bob Persichetti",8.7,43084,"PG","Phil Lord","Shameik Moore",9e+07,375540831,"Sony Pictures Entertainment (SPE)",117
"The Green Mile",1999,"Drama","Fantasy","Mystery","USA","Frank Darabont",8.5,974912,"R","Stephen King","Tom Hanks",6e+07,286801374,"Castle Rock Entertainment",189
"Interstellar",2014,"Drama","Adventure",NA,"USA","Christopher Nolan",8.6,1240319,"PG-13","Jonathan Nolan","Matthew McConaughey",1.65e+08,701729206,"Paramount Pictures",169
"American History X",1998,"Drama",NA,NA,"USA","Tony Kaye",8.5,925585,"R","David McKenna","Edward Norton",2e+07,23875127,"New Line Cinema",119
"The Pianist",2002,"Drama","Biography","War","France","Roman Polanski",8.5,618407,"R","Ronald Harwood","Adrien Brody",3.5e+07,120072577,"R.P. Productions",150
"The Departed",2006,"Drama","Thriller","Crime","Hong Kong","Martin Scorsese",8.5,1043844,"R","William Monahan","Leonardo DiCaprio",9e+07,291465373,"Warner Bros.",151
"Terminator 2: Judgment Day",1991,"Action",NA,NA,"France","James Cameron",8.5,880764,"R","James Cameron","Arnold Schwarzenegger",1.02e+08,520881154,"Carolco Pictures",137
"Back to the Future",1985,"Comedy","Adventure",NA,"USA","Robert Zemeckis",8.5,901606,"PG","Robert Zemeckis","Michael J. Fox",1.9e+07,381906762,"Universal Pictures",116
"Whiplash",2014,"Drama","Music",NA,"USA","Damien Chazelle",8.5,586547,"R","Damien Chazelle","Miles Teller",3300000,49396747,"Bold Films",106
